data,bioma,latitude,longitude,satelite,frp_mw,confianca_pct,indice_risco
2024-01-02,Cerrado,-5.2415,-45.9789,NOAA-20,4.9,94.0,67.1
2024-01-02,Cerrado,-14.9296,-48.9458,METOP-C,2.0,76.0,67.1
2024-01-02,Cerrado,-7.0402,-45.0461,NOAA-21,113.8,86.0,67.1
2024-01-02,Cerrado,-8.3819,-48.7877,METOP-C,3.0,68.0,67.1
2024-01-02,Cerrado,-10.1948,-57.3551,METOP-C,41.8,86.0,67.1
2024-01-02,Cerrado,-14.3626,-56.2745,GOES-16,6.4,56.0,67.1
2024-01-02,Pantanal,-17.2851,-57.7133,GOES-16,55.6,86.0,67.9
2024-01-02,Pantanal,-17.3799,-57.3541,NOAA-21,13.9,100.0,67.9
2024-01-02,Pantanal,-20.6911,-58.2251,NOAA-21,63.3,75.0,67.9
2024-01-02,Pantanal,-20.6119,-55.299,METOP-C,7.3,75.0,67.9
2024-01-02,Pantanal,-18.1976,-56.8143,AQUA_M-T,22.9,71.0,67.9
2024-01-02,Pantanal,-20.0649,-56.3687,NOAA-20,27.9,92.0,67.9
2024-01-02,Pantanal,-20.4952,-58.2134,TERRA_M-T,8.8,94.0,67.9
2024-01-02,Pantanal,-18.4075,-55.2993,NOAA-21,101.1,71.0,67.9
2024-01-02,Pantanal,-16.4729,-55.8531,GOES-16,6.4,88.0,67.9
2024-01-02,Pantanal,-20.628,-57.6141,NOAA-21,12.6,72.0,67.9
2024-01-02,Pantanal,-19.2981,-57.3822,TERRA_M-T,81.2,74.0,67.9
2024-01-02,Pantanal,-19.73,-55.8712,METOP-C,16.9,70.0,67.9
2024-01-02,Pantanal,-19.5424,-55.5019,METOP-C,28.5,71.0,67.9
2024-01-02,Pantanal,-19.5248,-55.5384,TERRA_M-T,11.4,59.0,67.9
2024-01-02,Pantanal,-18.1013,-56.644,GOES-16,1.3,76.0,67.9
2024-01-02,Pantanal,-17.2633,-55.4367,AQUA_M-T,78.0,79.0,67.9
2024-01-02,Pantanal,-19.9498,-56.6191,NOAA-21,13.4,73.0,67.9
2024-01-02,Pantanal,-17.3599,-57.6169,GOES-16,10.5,66.0,67.9
2024-01-02,Caatinga,-9.7421,-40.7596,GOES-16,17.8,77.0,64.1
2024-01-02,Caatinga,-11.7517,-42.7737,GOES-16,35.6,76.0,64.1
2024-01-02,Caatinga,-15.0037,-41.8128,TERRA_M-T,28.3,88.0,64.1
2024-01-02,Caatinga,-12.8732,-37.6803,NOAA-21,7.7,68.0,64.1
2024-01-02,Caatinga,-15.4287,-37.0341,GOES-16,15.1,61.0,64.1
2024-01-02,Caatinga,-6.3294,-39.7909,NOAA-20,161.6,98.0,64.1
2024-01-02,Caatinga,-13.6047,-40.5739,NOAA-21,29.1,63.0,64.1
2024-01-02,Caatinga,-9.1433,-38.7479,AQUA_M-T,26.0,98.0,64.1
2024-01-02,Caatinga,-10.9432,-40.5954,METOP-C,14.0,44.0,64.1
2024-01-02,Mata Atlantica,-7.5419,-43.1611,NOAA-20,9.1,84.0,53.8
2024-01-02,Mata Atlantica,-16.6096,-44.4725,NOAA-21,22.2,75.0,53.8
2024-01-02,Mata Atlantica,-18.7036,-41.2789,NOAA-21,31.3,63.0,53.8
2024-01-02,Mata Atlantica,-25.2884,-46.6196,NOAA-20,7.1,84.0,53.8
2024-01-03,Amazonia,-2.2557,-60.5294,GOES-16,37.8,75.0,44.5
2024-01-03,Amazonia,-6.2596,-59.4418,NOAA-20,7.5,66.0,44.5
2024-01-03,Amazonia,-6.016,-61.5169,NOAA-21,44.8,89.0,44.5
2024-01-03,Amazonia,-5.8375,-56.9462,METOP-C,3.1,71.0,44.5
2024-01-03,Amazonia,-6.5908,-57.2309,NOAA-20,67.7,64.0,44.5
2024-01-03,Amazonia,-9.2394,-60.6253,AQUA_M-T,12.0,79.0,44.5
2024-01-03,Amazonia,-5.6229,-58.8141,NOAA-20,26.3,66.0,44.5
2024-01-03,Amazonia,-3.2635,-60.729,NOAA-21,31.6,76.0,44.5
2024-01-03,Amazonia,-2.1529,-50.3922,GOES-16,11.2,81.0,44.5
2024-01-03,Amazonia,-5.1244,-50.2998,NOAA-20,2.4,75.0,44.5
2024-01-03,Amazonia,-8.2978,-65.788,NOAA-20,7.9,100.0,44.5
2024-01-03,Amazonia,-7.1774,-64.0577,NOAA-20,8.6,100.0,44.5
2024-01-03,Amazonia,-4.0715,-56.6055,NOAA-20,37.9,86.0,44.5
2024-01-03,Amazonia,-7.0817,-58.6165,METOP-C,17.2,61.0,44.5
2024-01-03,Amazonia,-2.8834,-61.957,METOP-C,1.6,52.0,44.5
2024-01-03,Amazonia,-6.4029,-67.2112,GOES-16,16.7,81.0,44.5
2024-01-03,Amazonia,-4.1641,-67.0473,METOP-C,14.4,59.0,44.5
2024-01-03,Amazonia,-7.3087,-51.3794,AQUA_M-T,19.0,73.0,44.5
2024-01-03,Amazonia,-9.1382,-62.5675,GOES-16,7.5,65.0,44.5
2024-01-03,Amazonia,-3.3978,-57.6281,NOAA-21,43.0,74.0,44.5
2024-01-03,Amazonia,-6.1179,-59.5544,AQUA_M-T,17.2,75.0,44.5
2024-01-03,Amazonia,-3.1345,-67.2161,NOAA-21,20.5,79.0,44.5
2024-01-03,Amazonia,-8.686,-59.5062,GOES-16,33.6,65.0,44.5
2024-01-03,Amazonia,-6.1487,-66.5375,AQUA_M-T,1.2,60.0,44.5
2024-01-03,Amazonia,-3.9056,-57.4785,AQUA_M-T,12.7,78.0,44.5
2024-01-03,Amazonia,-8.9735,-50.3936,NOAA-20,22.6,77.0,44.5
2024-01-03,Amazonia,-6.9731,-57.6061,TERRA_M-T,8.0,94.0,44.5
2024-01-03,Amazonia,-2.6178,-68.4378,NOAA-21,13.2,63.0,44.5
2024-01-03,Amazonia,-2.7598,-50.0461,GOES-16,33.1,76.0,44.5
2024-01-03,Amazonia,-6.778,-59.8701,NOAA-21,10.6,69.0,44.5
2024-01-03,Amazonia,-2.4987,-69.3004,NOAA-20,34.7,61.0,44.5
2024-01-03,Amazonia,-6.9642,-55.1167,NOAA-20,33.7,79.0,44.5
2024-01-03,Amazonia,-8.0355,-58.0063,TERRA_M-T,9.5,67.0,44.5
2024-01-03,Cerrado,-12.094,-50.6454,TERRA_M-T,23.1,64.0,54.6
2024-01-03,Cerrado,-15.9785,-55.069,TERRA_M-T,101.4,79.0,54.6
2024-01-03,Cerrado,-18.8029,-56.3113,GOES-16,30.9,79.0,54.6
2024-01-03,Cerrado,-7.823,-59.7646,AQUA_M-T,2.3,76.0,54.6
2024-01-03,Cerrado,-8.0861,-56.3505,NOAA-20,13.4,94.0,54.6
2024-01-03,Cerrado,-13.2634,-50.3746,GOES-16,38.0,65.0,54.6
2024-01-03,Cerrado,-16.6856,-51.5396,TERRA_M-T,18.8,56.0,54.6
2024-01-03,Cerrado,-11.6934,-49.1989,NOAA-21,26.6,95.0,54.6
2024-01-03,Cerrado,-12.3364,-55.7853,TERRA_M-T,46.9,59.0,54.6
2024-01-03,Cerrado,-14.1662,-43.8045,AQUA_M-T,10.9,84.0,54.6
2024-01-03,Cerrado,-11.9491,-49.0209,TERRA_M-T,14.9,80.0,54.6
2024-01-03,Cerrado,-13.9447,-46.4509,NOAA-21,3.6,74.0,54.6
2024-01-03,Cerrado,-10.423,-45.3424,GOES-16,22.5,71.0,54.6
2024-01-03,Cerrado,-17.5091,-59.6976,METOP-C,46.3,69.0,54.6
2024-01-03,Cerrado,-13.7766,-59.3727,GOES-16,17.0,86.0,54.6
2024-01-03,Cerrado,-6.325,-42.1139,METOP-C,12.5,81.0,54.6
2024-01-03,Cerrado,-19.9847,-59.6157,TERRA_M-T,20.0,80.0,54.6
2024-01-03,Cerrado,-18.6947,-42.5326,NOAA-20,1.6,78.0,54.6
2024-01-03,Cerrado,-6.6461,-46.0031,GOES-16,22.6,62.0,54.6
2024-01-03,Cerrado,-6.197,-47.783,NOAA-21,26.3,69.0,54.6
2024-01-03,Cerrado,-19.6376,-55.5913,TERRA_M-T,13.9,80.0,54.6
2024-01-03,Cerrado,-12.0394,-53.6246,NOAA-21,6.9,85.0,54.6
2024-01-03,Cerrado,-17.0437,-56.805,TERRA_M-T,1.8,89.0,54.6
2024-01-03,Cerrado,-16.1318,-46.2666,AQUA_M-T,20.7,65.0,54.6
2024-01-03,Cerrado,-8.7303,-51.4679,GOES-16,19.2,80.0,54.6
2024-01-03,Cerrado,-7.0505,-48.8634,AQUA_M-T,4.3,76.0,54.6
2024-01-03,Cerrado,-19.4179,-58.4137,NOAA-21,11.2,60.0,54.6
2024-01-03,Cerrado,-13.7392,-47.4905,TERRA_M-T,3.8,80.0,54.6
2024-01-03,Cerrado,-19.5389,-49.4272,GOES-16,22.5,79.0,54.6
2024-01-03,Cerrado,-10.453,-45.0271,TERRA_M-T,0.8,95.0,54.6
2024-01-03,Pantanal,-17.5228,-57.343,NOAA-21,27.7,81.0,59.2
2024-01-03,Pantanal,-20.9983,-56.5131,AQUA_M-T,19.7,81.0,59.2
2024-01-03,Pantanal,-18.4136,-57.038,NOAA-20,11.5,78.0,59.2
2024-01-03,Pantanal,-20.3212,-55.0054,METOP-C,0.6,64.0,59.2
2024-01-03,Pantanal,-17.6106,-55.5822,METOP-C,19.2,70.0,59.2
2024-01-03,Pantanal,-19.7106,-55.3227,AQUA_M-T,22.1,82.0,59.2
2024-01-03,Pantanal,-16.8868,-57.5999,NOAA-20,9.6,69.0,59.2
2024-01-03,Pantanal,-18.9208,-56.7971,GOES-16,19.6,100.0,59.2
2024-01-03,Pantanal,-18.9152,-55.3071,NOAA-20,31.5,75.0,59.2
2024-01-03,Pantanal,-19.5333,-57.8049,METOP-C,14.1,90.0,59.2
2024-01-03,Pantanal,-17.4631,-56.3249,TERRA_M-T,2.4,72.0,59.2
2024-01-03,Pantanal,-19.6309,-55.5506,NOAA-20,24.9,75.0,59.2
2024-01-03,Pantanal,-18.4136,-57.6787,GOES-16,8.6,98.0,59.2
2024-01-03,Caatinga,-12.2262,-43.286,AQUA_M-T,19.0,69.0,61.4
2024-01-03,Caatinga,-14.9107,-38.4155,NOAA-21,15.9,83.0,61.4
2024-01-03,Caatinga,-12.8946,-38.7105,AQUA_M-T,64.1,82.0,61.4
2024-01-03,Caatinga,-5.8369,-40.7526,TERRA_M-T,25.5,99.0,61.4
2024-01-03,Caatinga,-3.224,-37.3752,NOAA-21,54.2,73.0,61.4
2024-01-03,Caatinga,-15.5465,-39.5217,METOP-C,11.5,80.0,61.4
2024-01-03,Caatinga,-5.1236,-36.3626,GOES-16,15.2,65.0,61.4
2024-01-03,Caatinga,-7.0382,-36.7566,GOES-16,20.9,82.0,61.4
2024-01-03,Mata Atlantica,-9.2056,-47.2963,NOAA-20,42.1,100.0,28.9
2024-01-03,Mata Atlantica,-23.3619,-42.0609,METOP-C,109.2,57.0,28.9
2024-01-03,Mata Atlantica,-7.6617,-46.5999,NOAA-21,25.0,83.0,28.9
2024-01-04,Amazonia,-3.188,-67.3486,GOES-16,24.7,66.0,41.6
2024-01-04,Amazonia,-8.9188,-58.1348,NOAA-21,4.8,89.0,41.6
2024-01-04,Amazonia,-2.6323,-60.0412,NOAA-21,11.6,74.0,41.6
2024-01-04,Amazonia,-2.6715,-59.9437,AQUA_M-T,7.2,62.0,41.6
2024-01-04,Amazonia,-2.628,-62.2327,AQUA_M-T,20.8,83.0,41.6
2024-01-04,Amazonia,-3.5004,-50.3816,AQUA_M-T,61.4,89.0,41.6
2024-01-04,Amazonia,-7.509,-65.8251,TERRA_M-T,66.1,91.0,41.6
2024-01-04,Amazonia,-8.3805,-53.6112,NOAA-21,7.4,64.0,41.6
2024-01-04,Amazonia,-5.7957,-59.7315,METOP-C,4.1,71.0,41.6
2024-01-04,Amazonia,-9.0172,-68.0068,TERRA_M-T,12.4,78.0,41.6
2024-01-04,Amazonia,-7.0927,-61.6131,GOES-16,20.6,78.0,41.6
2024-01-04,Amazonia,-6.4324,-59.5205,METOP-C,3.3,70.0,41.6
2024-01-04,Amazonia,-8.7497,-51.3201,AQUA_M-T,2.7,80.0,41.6
2024-01-04,Amazonia,-2.6655,-69.614,AQUA_M-T,24.3,97.0,41.6
2024-01-04,Amazonia,-8.0031,-69.5938,GOES-16,18.9,65.0,41.6
2024-01-04,Amazonia,-3.331,-61.8797,GOES-16,95.7,43.0,41.6
