data,bioma,t2m,t2m_max,rh2m,prectotcorr,ws2m,dias_sem_chuva,vegetacao,indice_risco,classe_risco
2024-02-16,Amazonia,25.7,30.2,71.6,11.0,3.2,0,0.92,37.9,Moderado
2024-02-17,Amazonia,26.3,32.8,67.6,0.0,4.5,1,0.92,64.4,Alto
2024-02-18,Amazonia,23.7,29.0,74.0,0.0,2.2,2,0.92,52.9,Moderado
2024-02-19,Amazonia,21.8,26.5,65.6,2.1,4.3,0,0.92,49.2,Moderado
2024-02-20,Amazonia,22.3,28.9,82.8,23.1,3.0,0,0.92,11.0,Baixo
2024-02-21,Amazonia,20.4,25.4,82.2,10.6,4.5,0,0.92,25.6,Baixo
2024-02-22,Amazonia,23.7,29.6,76.1,5.0,1.3,0,0.92,41.0,Moderado
2024-02-23,Amazonia,17.6,24.1,73.4,0.0,1.3,1,0.92,41.7,Moderado
2024-02-24,Amazonia,20.7,27.2,73.2,14.5,1.7,0,0.92,24.5,Baixo
2024-02-25,Amazonia,24.4,28.5,76.1,0.0,2.0,1,0.92,49.0,Moderado
2024-02-26,Amazonia,23.9,29.4,74.4,0.0,4.8,2,0.92,56.5,Alto
2024-02-27,Amazonia,20.0,27.8,64.0,0.0,3.2,3,0.92,59.0,Alto
2024-02-28,Amazonia,22.6,26.9,75.2,13.9,2.0,0,0.92,24.2,Baixo
2024-02-29,Amazonia,22.5,30.0,72.0,0.0,4.1,1,0.92,56.5,Alto
2024-03-01,Amazonia,25.2,29.9,70.6,0.0,0.9,2,0.92,54.8,Moderado
2024-03-02,Amazonia,19.1,26.8,67.6,0.0,3.8,3,0.92,56.0,Alto
2024-03-03,Amazonia,20.3,27.3,81.4,17.3,4.0,0,0.92,18.8,Baixo
2024-03-04,Amazonia,24.0,29.5,73.7,17.5,2.3,0,0.92,24.6,Baixo
2024-03-05,Amazonia,19.1,26.9,72.2,0.0,4.6,1,0.92,51.4,Moderado
2024-03-06,Amazonia,19.3,24.6,78.9,0.0,2.2,2,0.92,42.3,Moderado
2024-03-07,Amazonia,22.4,29.5,77.4,5.1,2.7,0,0.92,41.7,Moderado
2024-03-08,Amazonia,24.7,30.1,70.1,1.1,2.5,0,0.92,52.5,Moderado
2024-03-09,Amazonia,26.5,30.9,76.5,8.9,2.2,0,0.92,38.4,Moderado
2024-03-10,Amazonia,18.1,25.3,74.6,0.0,1.2,1,0.92,43.1,Moderado
2024-03-11,Amazonia,20.7,27.8,69.8,0.0,3.5,2,0.92,54.6,Moderado
2024-03-12,Amazonia,24.2,28.2,72.6,0.4,1.7,0,0.92,47.8,Moderado
2024-03-13,Amazonia,23.5,29.8,79.7,0.0,1.2,1,0.92,48.4,Moderado
2024-03-14,Amazonia,19.7,27.6,69.1,25.8,3.1,0,0.92,12.3,Baixo
2024-03-15,Amazonia,24.0,28.3,74.4,0.0,2.7,1,0.92,50.4,Moderado
2024-03-16,Amazonia,25.4,31.2,75.7,0.0,3.6,2,0.92,57.6,Alto
2024-03-17,Amazonia,24.5,28.7,77.5,22.1,2.6,0,0.92,14.6,Baixo
2024-03-18,Amazonia,20.6,25.4,78.0,3.2,3.4,0,0.92,37.7,Moderado
2024-03-19,Amazonia,20.7,28.6,69.3,0.0,3.0,1,0.92,54.1,Moderado
2024-03-20,Amazonia,23.5,30.2,82.4,17.7,2.1,0,0.92,20.6,Baixo
2024-03-21,Amazonia,25.6,31.3,76.7,0.0,2.6,1,0.92,54.4,Moderado
2024-03-22,Amazonia,23.4,28.9,71.5,0.0,1.6,2,0.92,53.4,Moderado
2024-03-23,Amazonia,23.1,28.9,74.2,2.3,2.7,0,0.92,46.6,Moderado
2024-03-24,Amazonia,21.7,27.5,73.0,22.5,3.3,0,0.92,15.1,Baixo
2024-03-25,Amazonia,22.8,29.5,65.9,0.0,1.8,1,0.92,56.2,Alto
2024-03-26,Amazonia,21.8,28.9,71.2,0.0,4.7,2,0.92,57.3,Alto
2024-03-27,Amazonia,24.5,30.7,73.5,0.0,1.7,3,0.92,57.2,Alto
2024-03-28,Amazonia,26.6,31.4,71.2,0.1,3.6,0,0.92,57.1,Alto
2024-03-29,Amazonia,19.4,24.9,77.8,17.0,2.9,0,0.92,15.6,Baixo
2024-03-30,Amazonia,21.0,27.5,61.6,0.0,4.0,1,0.92,57.6,Alto
2024-03-31,Amazonia,25.1,30.1,72.3,28.4,0.6,0,0.92,8.1,Baixo
2024-04-01,Amazonia,21.6,25.9,71.9,1.0,3.4,0,0.92,45.2,Moderado
2024-04-02,Amazonia,24.1,29.5,66.8,0.0,4.7,1,0.92,59.2,Alto
2024-04-03,Amazonia,23.5,27.7,70.6,2.4,2.2,0,0.92,45.6,Moderado
2024-04-04,Amazonia,21.7,26.5,71.6,5.1,2.6,0,0.92,39.4,Moderado
2024-04-05,Amazonia,25.3,29.6,72.3,0.0,3.9,1,0.92,55.4,Alto
2024-04-06,Amazonia,20.4,27.4,76.2,1.7,2.4,0,0.92,43.3,Moderado
2024-04-07,Amazonia,19.7,25.6,60.4,0.0,4.1,1,0.92,54.9,Moderado
2024-04-08,Amazonia,23.2,29.3,74.7,0.0,2.6,2,0.92,53.5,Moderado
2024-04-09,Amazonia,20.4,25.5,67.0,0.1,2.9,0,0.92,47.9,Moderado
2024-04-10,Amazonia,22.1,27.4,66.4,15.8,4.4,0,0.92,29.9,Baixo
2024-04-11,Amazonia,24.3,28.7,76.0,0.0,4.2,1,0.92,52.1,Moderado
2024-04-12,Amazonia,24.1,29.8,79.1,2.4,4.1,0,0.92,47.0,Moderado
2024-04-13,Amazonia,17.0,24.9,64.9,0.0,3.7,1,0.92,50.7,Moderado
2024-04-14,Amazonia,23.7,28.3,69.5,1.2,2.1,0,0.92,49.0,Moderado
2024-04-15,Amazonia,23.3,28.9,66.9,0.0,1.9,1,0.92,54.7,Moderado
2024-04-16,Amazonia,19.1,27.0,69.9,0.0,2.2,2,0.92,51.6,Moderado
2024-04-17,Amazonia,22.1,29.9,74.8,0.0,1.8,3,0.92,55.2,Alto
2024-04-18,Amazonia,22.9,30.0,62.6,2.8,3.0,0,0.92,54.5,Moderado
2024-04-19,Amazonia,21.6,28.0,57.1,6.1,2.4,0,0.92,48.3,Moderado
2024-04-20,Amazonia,20.4,26.5,70.4,2.9,2.1,0,0.92,42.7,Moderado
2024-04-21,Amazonia,24.8,31.2,74.4,0.0,3.5,1,0.92,56.6,Alto
2024-04-22,Amazonia,19.2,26.9,61.7,0.0,2.9,2,0.92,56.7,Alto
2024-04-23,Amazonia,22.6,30.0,70.8,11.1,4.3,0,0.92,39.1,Moderado
2024-04-24,Amazonia,23.5,28.2,67.9,0.0,3.0,1,0.92,54.2,Moderado
2024-04-25,Amazonia,25.3,30.8,80.6,0.0,2.4,2,0.92,52.8,Moderado
2024-04-26,Amazonia,21.3,27.1,59.9,9.6,1.2,0,0.92,38.4,Moderado
2024-04-27,Amazonia,22.5,28.7,70.0,0.0,3.6,1,0.92,54.6,Moderado
2024-04-28,Amazonia,22.0,29.8,65.4,0.0,1.9,2,0.92,58.7,Alto
2024-04-29,Amazonia,24.1,30.2,67.7,0.0,4.0,3,0.92,62.3,Alto
2024-04-30,Amazonia,24.8,30.1,67.1,9.4,2.9,0,0.92,42.2,Moderado
2024-05-01,Amazonia,24.9,30.2,67.1,0.0,3.1,1,0.92,58.3,Alto
2024-05-02,Amazonia,20.2,27.4,68.0,1.8,3.8,0,0.92,49.3,Moderado
2024-05-03,Amazonia,26.0,32.1,74.0,2.9,3.8,0,0.92,52.9,Moderado
2024-05-04,Amazonia,26.5,32.4,60.1,0.0,3.1,1,0.92,66.1,Alto
2024-05-05,Amazonia,30.2,34.3,63.3,0.0,2.9,2,0.92,69.2,Alto
2024-05-06,Amazonia,24.1,30.9,69.3,0.0,2.0,3,0.92,60.3,Alto
2024-05-07,Amazonia,27.6,33.3,71.0,0.0,4.2,4,0.92,67.9,Alto
2024-05-08,Amazonia,21.3,29.3,63.5,0.0,2.9,5,0.92,64.9,Alto
2024-05-09,Amazonia,22.0,26.2,73.8,10.9,4.4,0,0.92,31.1,Moderado
2024-05-10,Amazonia,17.3,25.0,72.4,2.9,2.5,0,0.92,39.4,Moderado
2024-05-11,Amazonia,24.6,29.1,76.4,4.6,1.3,0,0.92,40.6,Moderado
2024-05-12,Amazonia,23.9,29.4,71.9,0.0,1.8,1,0.92,52.7,Moderado
2024-05-13,Amazonia,20.2,28.1,70.3,0.0,2.7,2,0.92,53.9,Moderado
2024-05-14,Amazonia,23.1,30.1,64.2,15.1,2.3,0,0.92,34.5,Moderado
2024-05-15,Amazonia,23.5,29.8,64.7,9.8,2.3,0,0.92,41.7,Moderado
2024-05-16,Amazonia,18.8,24.6,74.2,5.4,2.5,0,0.92,33.9,Moderado
2024-05-17,Amazonia,20.5,27.1,65.2,0.0,2.1,1,0.92,52.6,Moderado
2024-05-18,Amazonia,28.4,32.5,71.6,1.7,3.0,0,0.92,55.7,Alto
2024-05-19,Amazonia,26.1,31.0,66.1,1.8,1.8,0,0.92,54.5,Moderado
2024-05-20,Amazonia,23.6,30.9,70.1,0.0,1.8,1,0.92,56.4,Alto
2024-05-21,Amazonia,27.2,31.3,69.4,1.5,2.6,0,0.92,54.6,Moderado
2024-05-22,Amazonia,26.1,33.7,57.8,0.0,1.7,1,0.92,68.1,Alto
2024-05-23,Amazonia,27.8,32.8,61.9,0.0,1.1,2,0.92,65.1,Alto
2024-05-24,Amazonia,20.2,25.9,72.1,18.9,2.4,0,0.92,17.1,Baixo
2024-05-25,Amazonia,22.6,30.2,67.6,0.0,4.0,1,0.92,59.1,Alto
2024-05-26,Amazonia,25.2,30.2,63.6,0.0,1.6,2,0.92,60.1,Alto
2024-05-27,Amazonia,22.8,30.7,69.0,0.0,2.7,3,0.92,60.9,Alto
2024-05-28,Amazonia,24.8,28.9,62.4,0.0,3.1,4,0.92,63.4,Alto
2024-05-29,Amazonia,24.7,31.3,60.0,0.0,1.2,5,0.92,68.3,Alto
2024-05-30,Amazonia,26.1,32.5,66.0,0.0,1.1,6,0.92,68.7,Alto
2024-05-31,Amazonia,24.7,29.4,58.1,0.0,3.0,7,0.92,71.3,Alto
2024-06-01,Amazonia,24.2,29.1,65.2,0.0,2.0,8,0.92,67.3,Alto
2024-06-02,Amazonia,22.5,28.8,57.3,0.0,4.0,9,0.92,75.1,Critico
2024-06-03,Amazonia,24.2,31.1,66.4,0.2,3.6,0,0.92,59.0,Alto
2024-06-04,Amazonia,24.4,30.8,56.1,9.0,2.3,0,0.92,49.4,Moderado
2024-06-05,Amazonia,27.7,34.4,63.3,0.0,3.7,1,0.92,68.7,Alto
2024-06-06,Amazonia,27.1,32.2,60.5,0.0,4.0,2,0.92,68.2,Alto
2024-06-07,Amazonia,22.8,30.5,59.4,18.0,1.7,0,0.92,32.8,Moderado
2024-06-08,Amazonia,26.2,33.2,61.7,0.0,3.1,1,0.92,66.7,Alto
2024-06-09,Amazonia,25.8,33.2,69.1,4.0,3.4,0,0.92,55.4,Alto
2024-06-10,Amazonia,24.0,31.7,63.5,7.1,1.7,0,0.92,49.1,Moderado
2024-06-11,Amazonia,22.9,30.8,64.4,0.0,4.2,1,0.92,62.2,Alto
2024-06-12,Amazonia,23.0,30.3,61.6,5.3,3.9,0,0.92,53.0,Moderado
2024-06-13,Amazonia,26.4,30.7,59.6,0.0,4.3,1,0.92,64.8,Alto
2024-06-14,Amazonia,24.9,31.0,57.1,0.0,2.6,2,0.92,66.3,Alto
2024-06-15,Amazonia,20.9,28.5,66.5,0.0,3.1,3,0.92,58.8,Alto
2024-06-16,Amazonia,24.6,30.5,66.4,0.0,4.5,4,0.92,65.7,Alto
2024-06-17,Amazonia,28.8,34.5,58.7,0.0,2.7,5,0.92,76.6,Critico
2024-06-18,Amazonia,23.7,28.9,59.3,0.2,2.2,0,0.92,57.3,Alto
2024-06-19,Amazonia,22.6,29.3,50.8,16.9,4.1,0,0.92,39.9,Moderado
2024-06-20,Amazonia,25.2,31.6,59.1,26.6,3.8,0,0.92,24.6,Baixo
2024-06-21,Amazonia,29.0,35.0,65.8,1.1,2.5,0,0.92,63.7,Alto
2024-06-22,Amazonia,26.4,30.6,57.0,0.0,4.3,1,0.92,66.1,Alto
2024-06-23,Amazonia,24.0,30.8,66.6,9.4,2.4,0,0.92,43.2,Moderado
2024-06-24,Amazonia,30.4,36.7,55.8,11.6,4.1,0,0.92,58.5,Alto
2024-06-25,Amazonia,23.7,31.3,56.0,0.0,3.4,1,0.92,66.8,Alto
2024-06-26,Amazonia,29.1,33.4,60.5,0.0,5.1,2,0.92,71.7,Alto
2024-06-27,Amazonia,23.8,30.7,51.7,0.0,2.6,3,0.92,70.3,Alto
2024-06-28,Amazonia,26.3,32.2,59.5,0.0,4.3,4,0.92,72.4,Alto
2024-06-29,Amazonia,27.7,34.4,55.7,0.0,3.7,5,0.92,79.3,Critico
2024-06-30,Amazonia,26.1,33.5,56.1,0.0,4.3,6,0.92,79.8,Critico
2024-07-01,Amazonia,26.6,33.4,61.8,0.0,4.6,7,0.92,78.4,Critico
2024-07-02,Amazonia,26.8,32.1,60.7,0.0,3.3,8,0.92,76.7,Critico
2024-07-03,Amazonia,24.4,31.7,59.1,0.0,3.4,9,0.92,78.6,Critico
2024-07-04,Amazonia,23.3,29.9,57.3,0.0,3.9,10,0.92,78.5,Critico
2024-07-05,Amazonia,26.0,33.1,55.3,0.0,3.1,11,0.92,86.0,Critico
2024-07-06,Amazonia,29.5,33.9,58.0,0.0,3.4,12,0.92,88.0,Critico
2024-07-07,Amazonia,28.0,33.2,54.1,0.0,3.4,13,0.92,90.4,Critico
2024-07-08,Amazonia,31.0,35.2,52.6,0.0,1.7,14,0.92,94.4,Critico
2024-07-09,Amazonia,26.6,33.6,53.1,0.1,3.1,0,0.92,70.4,Alto
2024-07-10,Amazonia,28.6,34.4,45.5,0.0,4.3,1,0.92,79.2,Critico
2024-07-11,Amazonia,25.5,32.7,49.3,0.0,4.4,2,0.92,75.8,Critico
2024-07-12,Amazonia,24.9,32.6,61.8,0.0,2.1,3,0.92,67.6,Alto
2024-07-13,Amazonia,31.4,36.5,48.9,0.0,4.2,4,0.92,85.8,Critico
2024-07-14,Amazonia,27.6,31.8,53.8,0.0,2.6,5,0.92,74.3,Alto
2024-07-15,Amazonia,26.7,32.6,59.3,0.0,3.6,6,0.92,75.5,Critico
2024-07-16,Amazonia,27.3,34.7,53.2,0.0,4.0,7,0.92,84.8,Critico
2024-07-17,Amazonia,29.9,34.0,49.4,0.0,4.5,8,0.92,87.8,Critico
2024-07-18,Amazonia,26.9,31.4,56.4,0.0,3.3,9,0.92,79.4,Critico
2024-07-19,Amazonia,26.9,32.8,46.9,4.2,4.1,0,0.92,67.4,Alto
2024-07-20,Amazonia,28.6,32.6,50.3,2.4,1.4,0,0.92,64.7,Alto
2024-07-21,Amazonia,27.4,32.6,65.7,0.0,3.7,1,0.92,64.1,Alto
2024-07-22,Amazonia,29.2,33.6,55.5,0.0,2.8,2,0.92,72.1,Alto
2024-07-23,Amazonia,26.8,33.6,64.9,0.0,2.5,3,0.92,68.1,Alto
2024-07-24,Amazonia,28.9,33.2,52.9,0.0,3.3,4,0.92,76.6,Critico
2024-07-25,Amazonia,24.9,31.7,53.5,0.0,2.9,5,0.92,74.7,Alto
2024-07-26,Amazonia,27.6,34.4,50.1,12.6,2.6,0,0.92,54.1,Moderado
2024-07-27,Amazonia,25.8,32.6,52.5,0.0,4.3,1,0.92,72.1,Alto
2024-07-28,Amazonia,31.7,36.0,55.2,0.0,2.8,2,0.92,76.6,Critico
2024-07-29,Amazonia,28.6,34.4,58.4,0.0,5.1,3,0.92,76.3,Critico
2024-07-30,Amazonia,25.2,32.7,52.6,0.0,2.9,4,0.92,75.4,Critico
2024-07-31,Amazonia,26.3,32.9,54.1,0.0,5.1,5,0.92,79.1,Critico
2024-08-01,Amazonia,29.4,34.2,53.5,0.0,3.5,6,0.92,81.5,Critico
2024-08-02,Amazonia,23.4,30.8,49.8,0.0,2.9,7,0.92,78.3,Critico
2024-08-03,Amazonia,23.8,31.8,58.8,8.9,1.9,0,0.92,49.4,Moderado
2024-08-04,Amazonia,31.4,38.3,43.0,0.0,1.8,1,0.92,84.6,Critico
2024-08-05,Amazonia,31.1,35.9,47.8,0.0,3.6,2,0.92,81.4,Critico
2024-08-06,Amazonia,31.4,35.9,57.3,0.0,3.7,3,0.92,77.9,Critico
2024-08-07,Amazonia,23.6,31.1,48.9,0.0,3.4,4,0.92,75.1,Critico
2024-08-08,Amazonia,28.5,34.9,39.0,0.0,3.8,5,0.92,89.5,Critico
2024-08-09,Amazonia,30.8,36.1,49.6,0.0,2.2,6,0.92,85.5,Critico
2024-08-10,Amazonia,29.7,34.0,42.1,0.0,1.3,7,0.92,86.4,Critico
2024-08-11,Amazonia,29.0,34.0,51.0,0.0,4.7,8,0.92,87.2,Critico
2024-08-12,Amazonia,30.9,35.6,45.4,5.6,3.1,0,0.92,70.0,Alto
2024-08-13,Amazonia,29.0,35.4,59.9,0.0,3.9,1,0.92,72.6,Alto
2024-08-14,Amazonia,29.2,34.2,48.1,3.2,3.3,0,0.92,69.8,Alto
2024-08-15,Amazonia,28.3,34.3,44.1,0.7,3.9,0,0.92,76.7,Critico
2024-08-16,Amazonia,29.6,35.4,53.7,0.0,5.5,1,0.92,77.9,Critico
2024-08-17,Amazonia,32.1,36.9,48.4,0.0,2.4,2,0.92,81.4,Critico
2024-08-18,Amazonia,31.1,38.6,45.8,0.0,4.3,3,0.92,89.8,Critico
2024-08-19,Amazonia,29.1,35.1,51.3,0.0,3.8,4,0.92,81.5,Critico
2024-08-20,Amazonia,32.8,36.9,49.8,0.0,4.6,5,0.92,88.1,Critico
2024-08-21,Amazonia,30.5,36.1,54.6,0.0,2.3,6,0.92,82.9,Critico
2024-08-22,Amazonia,25.3,33.3,50.1,15.4,4.5,0,0.92,50.2,Moderado
2024-08-23,Amazonia,28.6,35.5,47.3,0.0,4.9,1,0.92,80.9,Critico
2024-08-24,Amazonia,26.3,33.0,40.0,0.0,4.2,2,0.92,81.2,Critico
2024-08-25,Amazonia,33.0,37.5,51.6,0.0,3.2,3,0.92,83.3,Critico
2024-08-26,Amazonia,24.8,31.6,41.9,0.0,1.9,4,0.92,78.1,Critico
2024-08-27,Amazonia,28.0,32.3,46.8,0.0,2.9,5,0.92,79.4,Critico
2024-08-28,Amazonia,32.2,38.0,53.7,0.0,3.6,6,0.92,88.3,Critico
2024-08-29,Amazonia,28.7,34.0,53.8,0.0,3.5,7,0.92,82.6,Critico
2024-08-30,Amazonia,25.2,31.3,55.4,0.0,4.2,8,0.92,79.3,Critico
2024-08-31,Amazonia,26.8,34.5,51.0,0.0,3.9,9,0.92,88.7,Critico
2024-09-01,Amazonia,31.7,36.1,47.1,0.0,2.6,10,0.92,93.8,Critico
2024-09-02,Amazonia,30.8,36.9,43.1,0.0,2.9,11,0.92,99.4,Critico
2024-09-03,Amazonia,31.4,36.5,55.6,0.0,3.4,12,0.92,94.0,Critico
2024-09-04,Amazonia,27.0,33.1,47.2,0.0,4.1,13,0.92,94.9,Critico
2024-09-05,Amazonia,28.1,33.1,48.8,0.0,4.9,14,0.92,96.6,Critico
2024-09-06,Amazonia,27.3,33.8,47.6,0.0,3.6,15,0.92,98.5,Critico
2024-09-07,Amazonia,28.2,35.8,54.0,0.0,4.0,16,0.92,100.0,Critico
2024-09-08,Amazonia,29.7,37.3,41.5,0.0,3.2,17,0.92,100.0,Critico
2024-09-09,Amazonia,28.5,33.6,51.8,0.0,5.3,18,0.92,100.0,Critico
2024-09-10,Amazonia,29.7,35.5,43.9,0.0,2.7,19,0.92,100.0,Critico
2024-09-11,Amazonia,26.1,33.5,50.7,0.0,4.7,20,0.92,100.0,Critico
2024-09-12,Amazonia,26.3,31.9,56.2,0.0,3.8,21,0.92,100.0,Critico
2024-09-13,Amazonia,30.4,35.0,49.7,0.0,2.1,22,0.92,100.0,Critico
2024-09-14,Amazonia,28.9,36.9,38.6,0.0,4.6,23,0.92,100.0,Critico
2024-09-15,Amazonia,27.6,33.9,49.7,0.0,2.4,24,0.92,100.0,Critico
2024-09-16,Amazonia,27.7,33.8,44.7,0.0,3.3,25,0.92,100.0,Critico
2024-09-17,Amazonia,30.2,36.3,45.2,0.0,4.0,26,0.92,100.0,Critico
2024-09-18,Amazonia,25.9,32.6,59.0,0.0,2.3,27,0.92,100.0,Critico
2024-09-19,Amazonia,31.9,38.8,51.9,0.0,3.6,28,0.92,100.0,Critico
2024-09-20,Amazonia,26.7,32.9,45.1,0.0,4.1,29,0.92,100.0,Critico
2024-09-21,Amazonia,28.8,34.2,56.5,0.0,2.9,30,0.92,100.0,Critico
2024-09-22,Amazonia,27.6,35.0,41.6,0.0,4.3,31,0.92,100.0,Critico
2024-09-23,Amazonia,28.2,35.2,45.0,0.0,4.0,32,0.92,100.0,Critico
2024-09-24,Amazonia,27.2,32.6,51.8,0.0,2.6,33,0.92,100.0,Critico
2024-09-25,Amazonia,30.9,36.2,49.4,0.0,5.6,34,0.92,100.0,Critico
2024-09-26,Amazonia,30.4,36.4,43.4,0.0,3.5,35,0.92,100.0,Critico
2024-09-27,Amazonia,27.9,35.6,47.2,0.0,3.0,36,0.92,100.0,Critico
2024-09-28,Amazonia,30.6,35.8,55.1,0.0,4.1,37,0.92,100.0,Critico
2024-09-29,Amazonia,27.1,33.9,43.4,0.0,3.5,38,0.92,100.0,Critico
2024-09-30,Amazonia,26.7,34.1,50.4,0.0,3.6,39,0.92,100.0,Critico
2024-10-01,Amazonia,26.9,34.0,62.0,0.0,0.9,40,0.92,100.0,Critico
2024-10-02,Amazonia,29.5,33.8,50.1,0.6,2.4,0,0.92,70.8,Alto
2024-10-03,Amazonia,27.7,35.6,50.2,0.0,3.5,1,0.92,77.8,Critico
2024-10-04,Amazonia,26.0,32.6,40.2,0.0,3.3,2,0.92,79.3,Critico
2024-10-05,Amazonia,32.3,36.9,57.8,6.5,2.7,0,0.92,63.7,Alto
2024-10-06,Amazonia,28.8,33.3,50.0,0.0,3.0,1,0.92,73.2,Alto
2024-10-07,Amazonia,28.8,33.1,52.0,0.0,1.9,2,0.92,72.0,Alto
2024-10-08,Amazonia,29.6,35.3,55.2,0.0,5.7,3,0.92,80.4,Critico
2024-10-09,Amazonia,31.5,36.2,50.1,0.0,4.6,4,0.92,85.1,Critico
2024-10-10,Amazonia,31.9,36.0,49.4,0.0,4.2,5,0.92,86.2,Critico
2024-10-11,Amazonia,29.1,34.1,49.1,0.0,3.5,6,0.92,83.7,Critico
2024-10-12,Amazonia,25.9,32.1,45.7,0.0,3.4,7,0.92,83.5,Critico
2024-10-13,Amazonia,28.7,34.0,45.5,0.0,1.1,8,0.92,85.9,Critico
2024-10-14,Amazonia,25.1,32.3,49.4,0.0,1.1,9,0.92,82.2,Critico
2024-10-15,Amazonia,26.0,31.7,57.5,0.0,3.3,10,0.92,81.0,Critico
2024-10-16,Amazonia,29.2,36.8,56.6,0.0,4.6,11,0.92,93.8,Critico
2024-10-17,Amazonia,28.2,34.2,49.0,0.0,3.4,12,0.92,93.4,Critico
2024-10-18,Amazonia,29.0,33.4,61.0,0.0,3.4,13,0.92,87.0,Critico
